Portfolio_Manager,Year,Month,PF/EPFO_Clients,Corporates_Clients,Non-Corporates_Clients,Non-Residents_Clients,FPI_Clients,Others_Clients,Total_Clients,PF/EPFO_AUM,Corporates_AUM,Non-Corporates_AUM,Non-Residents_AUM,FPI_AUM,Others_AUM,Total_AUM
KUNVARJI FINSTOCK PRIVATE LIMITED,2024,4,0,1,10,7,0,0,18,0,0.53,6.15,3.74,0,0,10.43
KUNVARJI FINSTOCK PRIVATE LIMITED,2024,7,0,0,10,7,0,0,17,0,0,6.67,3.93,0,0,10.59
KUNVARJI FINSTOCK PRIVATE LIMITED,2024,10,0,0,11,6,0,0,17,0,0,6.87,3.3,0,0,10.17
KYNG CAPITAL MANAGEMENT PRIVATE LIMITED,2023,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KYNG CAPITAL MANAGEMENT PRIVATE LIMITED,2024,1,0,3,2,0,0,0,5,0,106.94,2.52,0,0,0,109.46
KYNG CAPITAL MANAGEMENT PRIVATE LIMITED,2024,4,0,3,2,0,0,0,5,0,125.77,7.66,0,0,0,133.44
KYNG CAPITAL MANAGEMENT PRIVATE LIMITED,2024,7,0,3,2,0,0,0,5,0,144.02,7.85,0,0,0,151.88
KYNG CAPITAL MANAGEMENT PRIVATE LIMITED,2024,10,0,4,2,0,0,0,6,0,141.66,8.21,0,0,0,149.87
L&T INVESTMENT MANAGEMENT LIMITED,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L&T INVESTMENT MANAGEMENT LIMITED,2022,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L&T INVESTMENT MANAGEMENT LIMITED,2022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L&T INVESTMENT MANAGEMENT LIMITED,2022,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LABURNUM CAPITAL ADVISORS PRIVATE LIMITED,2022,1,0,12,20,6,1,0,39,0,122.5,80.32,61.02,297.968,0,561.808
LABURNUM CAPITAL ADVISORS PRIVATE LIMITED,2022,4,0,12,20,6,1,0,39,0,118.87,74.67,59.54,297.76,0,550.84
LABURNUM CAPITAL ADVISORS PRIVATE LIMITED,2022,7,0,12,20,6,1,0,39,0,118.31,74.31,59.34,295.81,0,547.77
LABURNUM CAPITAL ADVISORS PRIVATE LIMITED,2022,10,0,12,20,6,1,0,39,0,119.01,81.05,40.72,330.42,0,571.2
LABURNUM CAPITAL ADVISORS PRIVATE LIMITED,2023,1,0,10,20,6,1,0,37,0,99.82,79.67,39.94,318.18,0,537.61
LABURNUM CAPITAL ADVISORS PRIVATE LIMITED,2023,4,0,10,17,6,1,0,34,0,101.18,80.79,39.85,323.12,0,544.94
LABURNUM CAPITAL ADVISORS PRIVATE LIMITED,2023,7,0,10,18,5,1,0,34,0,113.07,86.86,44.45,367.3,0,611.68
LABURNUM CAPITAL ADVISORS PRIVATE LIMITED,2023,10,0,10,18,5,1,0,34,0,112.34,86.18,44.17,401.37,0,644.06
LABURNUM CAPITAL ADVISORS PRIVATE LIMITED,2024,1,0,10,19,5,1,0,35,0,123.29,97.03,48.57,393.66,0,662.55
LABURNUM CAPITAL ADVISORS PRIVATE LIMITED,2024,4,0,10,19,5,1,0,35,0,122.39,96.26,48.17,402.3,0,669.12
LABURNUM CAPITAL ADVISORS PRIVATE LIMITED,2024,7,0,10,19,5,2,0,36,0,103.59,103.56,51.7,1396.19,0,1655.04
